03.10.2024,Galarneau A.,0,3,3,,,,0,2,64%,62% (21/34),42% (8/19),0% (0/4),17% (5/29),38% (6/16),100% (1/1),55% (29/53),24% (11/45),41% (40/98),4,0,56% (5/9),11% (1/9),33% (6/18),[],[],[],[],[],1.53
01.10.2024,Sell K.,2,6,7^9,,,,2,2,62%,61% (34/56),54% (19/35),70% (7/10),37% (17/46),56% (20/36),40% (4/10),58% (53/91),45% (37/82),52% (90/173),7,0,73% (8/11),36% (4/11),55% (12/22),[],[],[],[],[],1.59
01.10.2024,Cornut-Chauvinc A.,0,4,6^7,,,,4,6,56%,63% (29/46),44% (16/36),60% (6/10),39% (22/56),46% (16/35),30% (3/10),55% (45/82),42% (38/91),48% (83/173),3,1,64% (7/11),27% (3/11),45% (10/22),[],[],[],[],[],2.27
CHALLENGER MEN - SINGLES :  Antofagasta (Chile),clay,header
25.09.2024,Sell K.,0,3,3,,,,1,1,57%,56% (15/27),75% (15/20),25% (1/4),26% (10/38),43% (12/28),0% (0/3),64% (30/47),33% (22/66),46% (52/113),3,1,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],3.54
25.09.2024,De Jong J.,2,6,6,,,,6,0,58%,74% (28/38),57% (16/28),100% (3/3),44% (12/27),25% (5/20),75% (3/4),67% (44/66),36% (17/47),54% (61/113),7,0,100% (9/9),33% (3/9),67% (12/18),[],[],[],[],[],1.27
24.09.2024,Sell K.,2,6,6,,,,0,0,58%,77% (17/22),81% (13/16),100% (2/2),40% (12/30),72% (13/18),83% (5/6),79% (30/38),52% (25/48),64% (55/86),6,0,100% (7/7),63% (5/8),80% (12/15),[],[],[],[],[],1.19
24.09.2024,Farjat T.,0,1,2,,,,2,5,63%,60% (18/30),28% (5/18),17% (1/6),23% (5/22),19% (3/16),0% (0/2),48% (23/48),21% (8/38),36% (31/86),4,0,38% (3/8),0% (0/7),20% (3/15),[],[],[],[],[],4.36
CHALLENGER MEN - SINGLES :  Las Vegas (USA),hard,header
15.09.2024,Sell K.,1,6,1,6^4,,,1,4,69%,62% (48/77),50% (17/34),70% (7/10),27% (18/67),42% (14/33),33% (2/6),59% (65/111),32% (32/100),46% (97/211),4,0,79% (11/14),13% (2/15),45% (13/29),[],[],[],[],[],1.93
15.09.2024,Boyer T.,2,4,6,7^7,,,4,6,67%,73% (49/67),58% (19/33),67% (4/6),38% (29/77),50% (17/34),30% (3/10),68% (68/100),41% (46/111),54% (114/211),6,0,87% (13/15),21% (3/14),55% (16/29),[],[],[],[],[],1.81
13.09.2024,Sell K.,2,6,6,,,,1,0,59%,69% (18/26),61% (11/18),50% (2/4),46% (16/35),70% (19/27),67% (6/9),66% (29/44),56% (35/62),60% (64/106),6,0,75% (6/8),67% (6/9),71% (12/17),[],[],[],[],[],1.44
13.09.2024,Bigun K.,0,2,3,,,,2,4,56%,54% (19/35),30% (8/27),33% (3/9),31% (8/26),39% (7/18),50% (2/4),44% (27/62),34% (15/44),40% (42/106),4,0,33% (3/9),25% (2/8),29% (5/17),[],[],[],[],[],2.69
13.09.2024,Sell K.,2,3,6,7^13,,,2,4,61%,61% (36/59),65% (24/37),50% (3/6),28% (16/57),54% (20/37),50% (4/8),63% (60/96),38% (36/94),51% (96/190),6,5,79% (11/14),29% (4/14),54% (15/28),[],[],[],[],[],1.49
13.09.2024,Ficovich J. P.,1,6,1,6^11,,,2,3,61%,72% (41/57),46% (17/37),50% (4/8),39% (23/59),35% (13/37),50% (3/6),62% (58/94),38% (36/96),49% (94/190),4,1,71% (10/14),21% (3/14),46% (13/28),[],[],[],[],[],2.53
11.09.2024,Sell K.,2,6,6,,,,1,1,59%,82% (18/22),73% (11/15),100% (2/2),34% (11/32),84% (21/25),45% (5/11),78% (29/37),56% (32/57),65% (61/94),8,0,100% (7/7),63% (5/8),80% (12/15),[],[],[],[],[],1.41
11.09.2024,Kirchheimer S.,0,1,2,,,,3,5,56%,66% (21/32),16% (4/25),55% (6/11),18% (4/22),27% (4/15),0% (0/2),44% (25/57),22% (8/37),35% (33/94),2,0,38% (3/8),0% (0/7),20% (3/15),[],[],[],[],[],2.80
ITF MEN - SINGLES :  M25 Londrina (Brazil),clay,header
CHALLENGER MEN - SINGLES :  Bogota (Colombia),clay,header
10.08.2024,Sell K.,1,4,7^7,0,,,2,4,52%,65% (32/49),43% (20/46),14% (1/7),0 km/h,0 km/h,32% (18/57),47% (23/49),50% (2/4),56% (55/98),39% (41/106),47% (96/204),2,0,57% (8/14),14% (2/14),36% (10/28),[],[],[],[],[],2.12
10.08.2024,Mena F.,2,6,6^5,6,,,7,6,54%,68% (39/57),53% (26/49),50% (2/4),0 km/h,0 km/h,35% (17/49),57% (26/46),86% (6/7),61% (65/106),44% (43/98),53% (108/204),8,0,86% (12/14),43% (6/14),64% (18/28),[],[],[],[],[],1.69
09.08.2024,Sell K.,2,6,6,,,,0,0,73%,79% (26/33),67% (8/12),100% (2/2),0 km/h,0 km/h,48% (10/21),43% (6/14),100% (4/4),76% (34/45),46% (16/35),63% (50/80),9,0,100% (8/8),50% (4/8),75% (12/16),[],[],[],[],[],2.12
09.08.2024,Ficovich J. P.,0,4,0,,,,4,1,60%,52% (11/21),57% (8/14),0% (0/4),0 km/h,0 km/h,21% (7/33),33% (4/12),0% (0/2),54% (19/35),24% (11/45),38% (30/80),1,0,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],1.69
08.08.2024,Sell K.,2,6,6,,,,3,2,52%,72% (23/32),66% (19/29),83% (5/6),0 km/h,0 km/h,34% (13/38),58% (18/31),25% (3/12),69% (42/61),45% (31/69),56% (73/130),5,0,90% (9/10),33% (3/9),63% (12/19),[],[],[],[],[],2.23
08.08.2024,Guillen Meza A.,0,3,4,,,,3,8,55%,66% (25/38),42% (13/31),75% (9/12),0 km/h,0 km/h,28% (9/32),34% (10/29),17% (1/6),55% (38/69),31% (19/61),44% (57/130),5,6,67% (6/9),10% (1/10),37% (7/19),[],[],[],[],[],1.62
07.08.2024,Sell K.,2,7^7,6,,,,2,2,70%,74% (29/39),65% (11/17),0% (0/2),0 km/h,0 km/h,52% (15/29),47% (15/32),40% (4/10),71% (40/56),49% (31/63),60% (71/119),10,0,80% (8/10),44% (4/9),63% (12/19),[],[],[],[],[],1.22
07.08.2024,Barreiros Reyes M.,0,6^2,1,,,,1,1,48%,48% (14/29),53% (17/32),60% (6/10),0 km/h,0 km/h,26% (10/39),35% (6/17),100% (2/2),51% (32/63),29% (16/56),40% (48/119),0,0,56% (5/9),20% (2/10),37% (7/19),[],[],[],[],[],4.06
ITF MEN - SINGLES :  M25 Dallas,hard,header
ITF MEN - SINGLES :  M15 Lakewood,hard,header
CHALLENGER MEN - SINGLES :  Lima (Peru),clay,header
14.06.2024,Sell K.,2,6,6,,,,3,1,69%,80% (32/40),44% (8/18),86% (6/7),33% (14/42),67% (14/21),50% (4/8),69% (40/58),44% (28/63),56% (68/121),5,0,89% (8/9),44% (4/9),67% (12/18),[],[],[],[],[],1.88
14.06.2024,Lingua Lavallen A. L.,0,2,4,,,,4,2,67%,67% (28/42),33% (7/21),50% (4/8),20% (8/40),56% (10/18),14% (1/7),56% (35/63),31% (18/58),44% (53/121),5,0,56% (5/9),11% (1/9),33% (6/18),[],[],[],[],[],1.86
12.06.2024,Sell K.,2,6,4,6,,,7,0,64%,74% (43/58),56% (18/32),71% (5/7),25% (14/55),55% (17/31),60% (3/5),68% (61/90),36% (31/86),52% (92/176),5,0,87% (13/15),21% (3/14),55% (16/29),[],[],[],[],[],1.75
12.06.2024,Habib H.,1,3,6,4,,,7,6,64%,75% (41/55),45% (14/31),40% (2/5),26% (15/58),44% (14/32),29% (2/7),64% (55/86),32% (29/90),48% (84/176),5,0,79% (11/14),13% (2/15),45% (13/29),[],[],[],[],[],2.00
CHALLENGER MEN - SINGLES :  Lima (Peru) - Qualification,clay,header
10.06.2024,Sell K.,2,6,6,,,,1,0,47%,60% (15/25),57% (16/28),60% (3/5),65% (17/26),58% (11/19),60% (6/10),58% (31/53),62% (28/45),60% (59/98),6,0,75% (6/8),75% (6/8),75% (12/16),[],[],[],[],[],1.14
10.06.2024,Stater A.,0,0,4,,,,1,0,58%,35% (9/26),42% (8/19),40% (4/10),40% (10/25),43% (12/28),40% (2/5),38% (17/45),42% (22/53),40% (39/98),4,0,25% (2/8),25% (2/8),25% (4/16),[],[],[],[],[],5.38
09.06.2024,Sell K.,2,6,6,,,,6,3,65%,84% (31/37),40% (8/20),100% (4/4),44% (15/34),54% (13/24),67% (4/6),68% (39/57),48% (28/58),58% (67/115),6,0,100% (8/8),44% (4/9),71% (12/17),[],[],[],[],[],1.76
09.06.2024,Gomez E.,0,2,3,,,,0,4,59%,56% (19/34),46% (11/24),33% (2/6),16% (6/37),60% (12/20),0% (0/4),52% (30/58),32% (18/57),42% (48/115),4,0,56% (5/9),0% (0/8),29% (5/17),[],[],[],[],[],1.99
ITF MEN - SINGLES :  M15 San Diego,hard,header
CHALLENGER MEN - SINGLES :  Santos (Brazil),clay,header
08.05.2024,Sell K.,0,2,2,,,,0,2,33%,67% (10/15),47% (14/30),20% (1/5),14% (4/29),50% (10/20),0% (0/1),53% (24/45),29% (14/49),40% (38/94),3,0,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],2.56
08.05.2024,Vallejo D.,2,6,6,,,,1,3,59%,86% (25/29),50% (10/20),100% (1/1),33% (5/15),53% (16/30),80% (4/5),71% (35/49),47% (21/45),60% (56/94),7,0,100% (8/8),50% (4/8),75% (12/16),[],[],[],[],[],1.48
CHALLENGER MEN - SINGLES :  Porto Alegre (Brazil),clay,header
03.05.2024,Sell K.,1,7^9,4,1,,,2,0,59%,65% (36/55),38% (15/39),45% (5/11),36% (21/59),41% (21/51),38% (3/8),54% (51/94),38% (42/110),46% (93/204),2,0,57% (8/14),20% (3/15),38% (11/29),[],[],[],[],[],1.86
03.05.2024,Mena F.,2,6^7,6,6,,,8,0,54%,64% (38/59),59% (30/51),63% (5/8),35% (19/55),62% (24/39),55% (6/11),62% (68/110),46% (43/94),54% (111/204),8,0,80% (12/15),43% (6/14),62% (18/29),[],[],[],[],[],1.86
02.05.2024,Sell K.,2,6,6,,,,3,0,71%,69% (24/35),79% (11/14),100% (2/2),50% (11/22),53% (10/19),67% (4/6),71% (35/49),51% (21/41),62% (56/90),9,0,100% (8/8),57% (4/7),80% (12/15),[],[],[],[],[],1.41
02.05.2024,Boscardin Dias P.,0,3,0,,,,0,2,54%,50% (11/22),47% (9/19),33% (2/6),31% (11/35),21% (3/14),0% (0/2),49% (20/41),29% (14/49),38% (34/90),1,0,43% (3/7),0% (0/8),20% (3/15),[],[],[],[],[],2.80
01.05.2024,Sell K.,2,6,6,,,,5,0,64%,66% (19/29),63% (10/16),50% (1/2),47% (16/34),75% (18/24),46% (6/13),64% (29/45),59% (34/58),61% (63/103),7,0,86% (6/7),75% (6/8),80% (12/15),[],[],[],[],[],3.40
01.05.2024,Hemery C.,0,2,1,,,,2,3,59%,53% (18/34),25% (6/24),54% (7/13),34% (10/29),38% (6/16),50% (1/2),41% (24/58),36% (16/45),39% (40/103),3,2,25% (2/8),14% (1/7),20% (3/15),[],[],[],[],[],1.30
CHALLENGER MEN - SINGLES :  Porto Alegre (Brazil) - Qualification,clay,header
30.04.2024,Sell K.,2,6,2,6,,,8,3,52%,68% (36/53),47% (23/49),69% (9/13),41% (21/51),53% (16/30),42% (5/12),58% (59/102),46% (37/81),52% (96/183),8,0,69% (9/13),42% (5/12),56% (14/25),[],[],[],[],[],1.44
30.04.2024,Decamps G.,1,1,6,4,,,1,5,63%,59% (30/51),47% (14/30),58% (7/12),32% (17/53),53% (26/49),31% (4/13),54% (44/81),42% (43/102),48% (87/183),2,0,58% (7/12),31% (4/13),44% (11/25),[],[],[],[],[],2.70
28.04.2024,Sell K.,2,6,6,,,,5,0,67%,61% (23/38),58% (11/19),75% (3/4),82% (14/17),63% (10/16),67% (6/9),60% (34/57),73% (24/33),64% (58/90),6,0,86% (6/7),100% (6/6),92% (12/13),[],[],[],[],[],1.13
28.04.2024,Ouakaa A.,0,1,0,,,,0,2,52%,18% (3/17),38% (6/16),33% (3/9),39% (15/38),42% (8/19),25% (1/4),27% (9/33),40% (23/57),36% (32/90),4,4,0% (0/6),14% (1/7),8% (1/13),[],[],[],[],[],5.90
CHALLENGER MEN - SINGLES :  Acapulco (Mexico),hard,header
17.04.2024,Sell K.,0,3,3,,,,0,2,60%,64% (21/33),50% (11/22),25% (1/4),25% (10/40),33% (6/18),0% (0/4),58% (32/55),28% (16/58),42% (48/113),4,0,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],1.70
17.04.2024,Oliveira G.,2,6,6,,,,4,2,69%,75% (30/40),67% (12/18),100% (4/4),36% (12/33),50% (11/22),75% (3/4),72% (42/58),42% (23/55),58% (65/113),6,0,100% (9/9),33% (3/9),67% (12/18),[],[],[],[],[],2.09
CHALLENGER MEN - SINGLES :  Acapulco (Mexico) - Qualification,hard,header
16.04.2024,Sell K.,2,6,6,,,,2,2,65%,74% (31/42),61% (14/23),100% (3/3),34% (16/47),48% (13/27),20% (2/10),69% (45/65),39% (29/74),53% (74/139),6,0,100% (10/10),20% (2/10),60% (12/20),[],[],[],[],[],1.62
16.04.2024,Langmo C.,0,4,4,,,,5,0,64%,66% (31/47),52% (14/27),80% (8/10),26% (11/42),39% (9/23),0% (0/3),61% (45/74),31% (20/65),47% (65/139),4,4,80% (8/10),0% (0/10),40% (8/20),[],[],[],[],[],2.23
15.04.2024,Sell K.,2,6,6,,,,0,1,58%,64% (18/28),65% (13/20),33% (1/3),44% (18/41),80% (16/20),63% (5/8),65% (31/48),56% (34/61),60% (65/109),7,0,78% (7/9),63% (5/8),71% (12/17),[],[],[],[],[],1.38
15.04.2024,Zhu E.,0,2,3,,,,0,5,67%,56% (23/41),20% (4/20),38% (3/8),36% (10/28),35% (7/20),67% (2/3),44% (27/61),35% (17/48),40% (44/109),3,0,38% (3/8),22% (2/9),29% (5/17),[],[],[],[],[],2.92
CHALLENGER MEN - SINGLES :  Morelos (Mexico) - Qualification,hard,header
08.04.2024,Sell K.,0,4,3,,,,5,6,52%,80% (24/30),43% (12/28),67% (4/6),24% (11/45),41% (7/17),0% (0/1),62% (36/58),29% (18/62),45% (54/120),4,1,78% (7/9),0% (0/10),37% (7/19),[],[],[],[],[],1.39
08.04.2024,Seggerman R.,2,6,6,,,,7,2,73%,76% (34/45),59% (10/17),100% (1/1),20% (6/30),57% (16/28),33% (2/6),71% (44/62),38% (22/58),55% (66/120),6,0,100% (10/10),22% (2/9),63% (12/19),[],[],[],[],[],2.89
ITF MEN - SINGLES :  M25 Calabasas,hard,header
ITF MEN - SINGLES :  M25 Bakersfield,hard,header
ITF MEN - SINGLES :  M15 Sharm ElSheikh 4 (Egypt),hard,header
ITF MEN - SINGLES :  M25 Vila Real de Santo Antonio (Portugal),hard,header
ITF MEN - SINGLES :  M25 Wesley Chapel,hard,header
ITF MEN - SINGLES :  M25 Ithaca,hard,header
ITF MEN - SINGLES :  M25 Columbus,hard,header
ITF MEN - SINGLES :  M25 Harlingen,hard,header
ITF MEN - SINGLES :  M15 Morelia (Mexico),hard,header
ITF MEN - SINGLES :  M15 Monastir 36 (Tunisia),hard,header
ITF MEN - SINGLES :  Claremont 2 (USA),hard,header
ITF MEN - SINGLES :  M25 Calabasas,hard,header
ITF MEN - SINGLES :  Bakersfield (USA),hard,header
ITF MEN - SINGLES :  Tucson 2 (USA),hard,header
ITF MEN - SINGLES :  M15 Palmanova 2 (Spain),clay,header
ATP - SINGLES :  Winston-Salem (USA) - Qualification,hard,header
CHALLENGER MEN - SINGLES :  Winnetka (USA),hard,header
ITF MEN - SINGLES :  Tulsa (USA),hard,header
ITF MEN - SINGLES :  Winston-Salem 2 (USA),hard,header
ITF MEN - SINGLES :  Winston-Salem (USA),hard,header
CHALLENGER MEN - SINGLES :  Savannah (USA),clay,header
ITF MEN - SINGLES :  Little Rock (USA),hard,header
ITF MEN - SINGLES :  Memphis (USA),hard,header
ITF MEN - SINGLES :  Calabasas (USA),hard,header
ITF MEN - SINGLES :  Bakersfield (USA),hard,header
CHALLENGER MEN - SINGLES :  San Francisco (USA),hard,header
ITF MEN - SINGLES :  Long Beach (USA),hard,header
ITF MEN - SINGLES :  Los Angeles (USA),hard,header
ITF MEN - SINGLES :  Waco (USA),hard,header
ITF MEN - SINGLES :  Columbus (USA),hard,header
CHALLENGER MEN - SINGLES :  Las Vegas (USA),hard,header
ITF MEN - SINGLES :  Fountain Valley (USA),hard,header
ITF MEN - SINGLES :  Claremont (USA),hard,header
ITF MEN - SINGLES :  Calabasas (USA),hard,header
ITF MEN - SINGLES :  Los Angeles (USA),hard,header
ATP - SINGLES :  Costa Do Sauipe (Brazil) - Qualification,clay,header
